Datetime,Text,Username,
2018-09-05 16:30:34+00:00,"?ìΩ?éû?íû Sending all the love for your upcoming American tour, @rupikaur_ (Details here: https://t.co/AZiJWNSZKc)

Our full @OurSharedShelf interview: https://t.co/8YLCcRwBA1 ??
#oursharedshelf #milkandhoney https://t.co/TFYtI3jkra",EmmaWatson,
2018-08-24 16:40:46+00:00,"W?òçW???í• @FilmmakerJulie &amp; @Betsywest ?í• directors of @RBGmovie - a documentary about ?ë©?èº?ç‚öñ Supreme Court Justice Ruth Bader Ginsburg - are my first #FeministFilmmakerFriday ?é•?•Ô∏è appreciation post.

 ?ëÅ Watch here:  https://t.co/FsaGv7EEEt or https://t.co/xX4nMsAXGa https://t.co/9h0WzZNN4M",EmmaWatson,
2018-08-20 16:05:53+00:00,"?í´ Got to meet @rupikaur_ ?åª So excited for @OurSharedShelf to hear our interview!

Rupi, 
I think I first said I was a feminist aged 9, and since then I have been on a worldwide search to find my tribe. Thank you for being the kindred heart &amp; spirit I knew you would be.
E x",EmmaWatson,
2018-08-18 00:18:53+00:00,?®üé?Went to see my #TimesUp sisters @ConstanceWu and @gemma_chan in #CrazyRichAsians today. Their performances were pitch perfect! Love you both so much. ?íñ https://t.co/kI8V7XGI0D,EmmaWatson,
2018-08-03 11:29:14+00:00,"Calling UK orgs &amp; grassroots activists working to end harassment &amp; abuse in workplaces &amp; communities - don?ôt forget the Justice and Equality Fund is open for applications! 

The fund was catalysed by UK #TimesUp &amp; is hosted by @RosaForWomen

Apply here: https://t.co/P5OUUe0GBI",EmmaWatson,
2018-08-02 11:32:17+00:00,"Don't forget to watch @rebelparkprod's short film #LeadingLadyParts on @BBCiPlayer! Sending love to my #TimesUp sisters involved: Gemma Arterton, @Gemma_Chan1, @emiliaclarke , @wunmo, Felicity Jones &amp; many more",EmmaWatson,
2018-07-21 20:38:18+00:00,"Hockey was a huge part of my life growing up, and I am proud to have joined @h_richardson8 and @EmilyDefroand for the launch of @hockeyfuturesuk, a charity aiming to get children into hockey. Good luck in the Women?ôs World Cup @EnglandHockey #HWC2018????https://t.co/D7jlqZBBpP https://t.co/RHZrxgPhqt",EmmaWatson,
2018-07-07 10:32:43+00:00,Sending love to everyone marching at Pride in London today! @PrideinLondon #PrideinLondon #PrideMatters,EmmaWatson,
2018-06-17 15:30:13+00:00,"Yesterday was #DayoftheAfricanChild and I celebrated my friend Alice in Zambia &amp; her work to keep girls in school &amp; out of #childmarriage. After its #UKAid Match appeal, @Camfed is now unleashing the power of hundreds more #GirlGuardians like her ?í™?èæhttps://t.co/70TwkjZrcH https://t.co/7n8KQaDuE0",EmmaWatson,
2018-06-11 03:39:53+00:00,"In awe of everybody at #Processions2018, some amazing artwork too! https://t.co/xlBMfiJEiJ",EmmaWatson,
2018-06-09 19:42:59+00:00,"Happy Pride, everyone! #Pride",EmmaWatson,
2018-05-24 21:27:11+00:00,"A vote for the freedom to choose, a vote for women's rights, a vote for women's control over their bodies, a vote for women's health &amp; safety, a vote towards equality. Thinking of Ireland #together4yes #repealthe8th https://t.co/CDNj9KoSGt",EmmaWatson,
2018-05-17 22:52:57+00:00,"This #IDAHOT I stand in solidarity with LGBTQI activists who are fighting to have the same rights, freedoms, protection &amp; support as anyone else and live without fear of violence &amp; discrimination. A world free from homophobia, transphobia &amp; biphobia needs to be a shared goal.",EmmaWatson,
2018-05-12 18:57:53+00:00,"New UK research from @womensaid found that one third of young women have experienced abuse in a relationship, &amp; that many women don't recognise the signs of abuse. An important reminder that we need meaningful #SRE in schools. https://t.co/8RPlUpSJ4X",EmmaWatson,
2018-05-03 22:30:55+00:00,"All power to Deepika Singh Rajawat ?äüè?
https://t.co/sZzDVcIFNo",EmmaWatson,
2018-05-02 19:19:17+00:00,"Women in positions of power are seriously under-represented, and BAME women even more so. Only 4% of MPs are BAME women, and there are none at the top of any FTSE 100 orgs. Thank you @thefawcettsociety for publishing the #SexandPower18 report #timesup https://t.co/gpFGsY1lIK",EmmaWatson,
2018-05-02 00:03:18+00:00,#TimesUp https://t.co/4dKpSrMnFV,EmmaWatson,
2018-05-02 00:00:20+00:00,"Huge respect, admiration and love for you @AshleyJudd https://t.co/6Wfk4jQPsy",EmmaWatson,
2018-04-28 19:11:57+00:00,Amazing to see the @goldmanprize dominated by women for the first time. Sending congratulations to the winners &amp; remembering all activists risking their security everyday for our planet https://t.co/pHwkeio8Kd,EmmaWatson,
2018-04-26 22:44:58+00:00,Love you so much Noma ?§Ô∏è https://t.co/VFyBQMJ6BG,EmmaWatson,
2018-04-24 20:05:38+00:00,"Remembering the 1,134 people killed at #RanaPlaza five years ago, and all the garment workers &amp; trade unionists still fighting for safer workplaces today https://t.co/YIGxVitR3T",EmmaWatson,
2018-04-22 20:05:38+00:00,"Love this girl ?á¨?áß @letitiawright 
https://t.co/iuzQbWRKRN",EmmaWatson,
2018-04-20 19:04:18+00:00,"Huge congrats to Eve Ensler on completing the amazing run of In The Body of the World in NYC; I loved it. so beautifully performed, staged and written... Do read the book if you missed the show https://t.co/zUzUCfa0By",EmmaWatson,
2018-03-27 06:31:17+00:00,"So proud of the women representing #TimesUp UK at last week's @empiremagazine awards. Huge thanks to @empiremagazine for making the Justice &amp; Equality Fund charity of the night, &amp; a standing ovation to @AmmaAsante for her beautiful speech https://t.co/Q3FUZukfCB https://t.co/Rv2Ugtr48s",EmmaWatson,
2018-03-24 15:52:53+00:00,I'm proud to support the amazing students behind #MarchForOurLives. Today they are marching on Washington DC to demand an end to gun violence in US schools and communities. Please show your solidarity: https://t.co/0boM1KLavO https://t.co/CnF8UxnVh9,EmmaWatson,
2018-03-08 20:31:08+00:00,Listen to my brilliant friends @MaraiLarasi from @Imkaan and @RWitherspoon &amp; @MonicaRamirezDC speaking at the UN for #IWD2018. A #TimesUp @GoldenGlobes reunion! https://t.co/urxliG22kD @TIMESUPNOW @UN_Women,EmmaWatson,
2018-03-05 23:27:32+00:00,Fake tattoo proofreading position available. Experience with apostrophes a must.,EmmaWatson,
2018-02-27 17:16:01+00:00,Yessss Australian Vogue!!!!!!! https://t.co/JN7y5SrHxv,EmmaWatson,
2018-02-20 20:01:38+00:00,"Thank you @peterlindbergh I adore, adore, adore you. @vogueaustralia cover shoot styled by Hannes Hetta, hair by Odile Gilbert, makeup by Stephane Marais. Link in bio for full video ?êê https://t.co/AQvpLzh1WK",EmmaWatson,
2018-02-19 21:09:39+00:00,"I helped guest edit @vogueaustralia?ôs March issue dedicated to conversations about sustainability and ?úDesigning the Future?? 

I am so proud of this! @Edwinamccann thank you for making my editing dreams come true. Link in my bio to read my guest editor letter. https://t.co/p3vRQ1AEoh",EmmaWatson,
2018-02-18 21:23:49+00:00,"We are bringing it home to the UK! @timesupnow

Link here and in my bio to donate to the UK Justice and Equality fund. https://t.co/90ymNXxElk https://t.co/D5Ebz48KAn",EmmaWatson,
2018-02-06 19:54:30+00:00,"#100years ago in the UK, certain women became eligible to vote, &amp; women were given the right to stand for Parliament. Amidst the celebrations, let's not forget those women that were excluded from voting for another ten years, &amp; the women still denied a political voice even today.",EmmaWatson,
2018-02-01 23:47:11+00:00,Get ready @BAFTA #TimesUp  https://t.co/GDLNSl9UH5,EmmaWatson,
2018-01-22 00:42:48+00:00,Auctioning our Golden Globes dresses to raise funds for TIME'S UP Legal Defense Fund. You can bid on my RVDK dress here https://t.co/Q1D1UFlzht,EmmaWatson,
2018-01-15 07:53:49+00:00,"@MaraiLarasi You were the best date on the most meaningful red carpet I have ever walked. Thank you for being so darn articulate and fun. Thank you for the trust, care, compassion &amp; solidarity. I'm so proud to say I work with @Imkaan and @EVAWuk &amp; to be learning from you. https://t.co/3KWVYE0CKx",EmmaWatson,
2018-01-08 23:18:03+00:00,And I?ôm beaming. Love these ladies! #TIMESUP https://t.co/yiXlNC09r4,EmmaWatson,
2018-01-08 21:24:54+00:00,So moving to be on the red carpet yesterday. Thank you to everyone who wore black in solidarity with us. ??@timesupnow #timesup https://t.co/70dv8yp9QJ,EmmaWatson,
2018-01-08 03:03:17+00:00,"""There is a wall of silence against women and violence, and every time a woman speaks out it breaks a crack in that wall."" - @MaraiLarasi",EmmaWatson,
2018-01-07 23:00:33+00:00,"Globally, violence against women and girls affects 1 in 3 women in their lifetime. #TimesUp https://t.co/55MnFKwKo3",EmmaWatson,
2018-01-07 18:01:35+00:00,Excited to be at the Golden Globes with you tonight Marai! @MaraiLarasi @Imkaan @TIMESUPNOW,EmmaWatson,
