Datetime,Text,Username,sentiment,user
2018-02-18 21:23:49+00:00,We are bringing it home to the UK  Link here and in my bio to donate to the UK Justice and Equality fund  https t co 90ymNXxElk https t co D5Ebz48KAn,EmmaWatson,0.5267,2
2018-02-06 19:54:30+00:00, 100years ago in the UK  certain women became eligible to vote   amp  women were given the right to stand for Parliament  Amidst the celebrations  let's not forget those women that were excluded from voting for another ten years   amp  the women still denied a political voice even today ,EmmaWatson,-0.3682,2
2018-02-01 23:47:11+00:00,Get ready  TimesUp https t co GDLNSl9UH5,EmmaWatson,0.3612,2
2018-01-22 00:42:48+00:00,Auctioning our Golden Globes dresses to raise funds for TIME'S UP Legal Defense Fund  You can bid on my RVDK dress here https t co Q1D1UFlzht,EmmaWatson,0.25,2
2018-01-15 07:53:49+00:00,You were the best date on the most meaningful red carpet I have ever walked  Thank you for being so darn articulate and fun  Thank you for the trust  care  compassion  amp  solidarity  I'm so proud to say I work with and  amp  to be learning from you  https t co 3KWVYE0CKx,EmmaWatson,0.9821,2
2018-01-08 23:18:03+00:00,And I m beaming  Love these ladies   TIMESUP https t co yiXlNC09r4,EmmaWatson,0.6369,2
2018-01-08 21:24:54+00:00,So moving to be on the red carpet yesterday  Thank you to everyone who wore black in solidarity with us     timesup https t co 70dv8yp9QJ,EmmaWatson,0.5719,2
2018-01-08 03:03:17+00:00, There is a wall of silence against women and violence  and every time a woman speaks out it breaks a crack in that wall   ,EmmaWatson,-0.6249,2
2018-01-07 23:00:33+00:00,Globally  violence against women and girls affects 1 in 3 women in their lifetime   TimesUp https t co 55MnFKwKo3,EmmaWatson,-0.6249,2
2018-01-07 18:01:35+00:00,Excited to be at the Golden Globes with you tonight Marai ,EmmaWatson,0.34,2
2018-01-02 09:26:45+00:00,I stand with women across every industry to say  TIMESUP on abuse  harassment  marginalization and underrepresentation  Join me  Sign the statement of solidarity  amp  donate to the Legal Defense Fund  https t co tp9YDjZ0qw https t co KW2b5BGgbX,EmmaWatson,-0.5106,2
2017-12-28 20:07:41+00:00,The girls in this picture with me are the Columbus Sisters  Eleanor in particular has just started a production company with her dad  Chris  that funds small independent films  including out now on iTunes  Check out Maiden Voyage Pictures and Patti Cakes    https t co Kps5CFmE0v,EmmaWatson,0,2
2017-12-26 20:02:29+00:00,Millennials go have the crap scared out of you and see  Belleville at Performances are amazing  You wont regret it ,EmmaWatson,0.1611,2
2017-12-24 00:16:28+00:00,This Christmas 30 000 children in Haiti are living in orphanages  exposed to exploitation  amp  abuse  charity is working hard to return these children to their families  In the spirit of giving  help them make it home by donating https t co YGq4AJdcKs,EmmaWatson,0.4019,2
2017-12-22 23:55:43+00:00,A moving reminder that sexual harassment happens in all industries   not just my own  https t co TSEodkTfDf To the brave women from Ford  your courage has allowed other women to not feel alone ,EmmaWatson,0.5913,2
2017-12-07 16:19:32+00:00,Thank you to Person of the Year  the SILENCE BREAKERS for your voices in this time of change  https t co jUwITSW1qo,EmmaWatson,0.3612,2
2017-11-28 16:35:33+00:00,I first met Alice in Zambia in 2012  amp  we celebrated  IWD2017 together  She s an amazing activist who was once at risk of becoming a child bride  now leading  GirlGuardians for The UK Gov t are DOUBLING donations to  EndChildMarriage https t co ulsQVrZPmc  GivingTuesday https t co U8Ixx7UQ7c,EmmaWatson,0.7506,2
2017-11-21 10:40:50+00:00,One day left to bid on a pair of my signed boots to support Help children in poverty gain access to education  x https t co kZYM7B6jSw https t co CIDUN9Ohwo,EmmaWatson,0.6705,2
2017-11-20 18:39:57+00:00,https t co qNf8SPZkGY  MexicoRises https t co eSuhbl0ghj,EmmaWatson,0,2
2017-11-16 22:06:48+00:00,I love seeing inspiring books turned into films  directed by my friend Steve Chbosky  is out this weekend in the US  What a great reminder to  choosekind  I hope you all enjoy it  Emma x https t co sHIsAGNYcG,EmmaWatson,0.9657,2
2017-10-10 16:25:07+00:00,In this instance it was women affected but I also stand with all the men  indeed any person  who has suffered sexual harassment ,EmmaWatson,-0.8847,2
2017-10-10 15:53:15+00:00,I stand with all the women who have been sexually harassed  and am awestruck by their bravery  This mistreatment of women has to stop ,EmmaWatson,-0.3612,2
2017-10-04 17:24:49+00:00,Help those in Mexico devastated by the earthquakes  MexicoRises https t co zRUYG4W0X7  amp  https t co 6yLsnzoDRb,EmmaWatson,-0.3182,2
2017-10-02 14:31:45+00:00,About time too     ,EmmaWatson,0,2
2017-09-26 18:04:51+00:00,This is AWESOME Anoosha  https t co DcD9D2s03t,EmmaWatson,0.7034,2
2017-09-23 18:08:05+00:00,Very excited to hear announce  20M for underfunded women's movements  Congratulations  amp  others x  HowEqualityHappens,EmmaWatson,0.7645,2
2017-09-21 00:28:08+00:00,A timely reminder of why we must invest in the power of women's movements  https t co PW7Z14MVJj  Goalkeepers17  HowEqualityHappens,EmmaWatson,0,2
2017-09-21 00:26:53+00:00,Modern slavery affects 40m people  71  are women and girls  New report launched at  UNGA today  https t co m0sEicJrJO https t co B8ksj68y6k,EmmaWatson,-0.6486,2
2017-08-14 14:55:26+00:00,THANK YOU SO MUCH to everybody who voted for me and Such lovely news to wake up to  Means a lot to me  thank you,EmmaWatson,0.8602,2
2017-08-01 17:42:33+00:00,Good luck at the semi final on Thursday  Lionesses  Will be cheering you on   ,EmmaWatson,0.8481,2
2017-07-19 03:45:43+00:00,Reward for information leading to return of rings lost Sunday 16th July at Mandarin Oriental spa  London  https t co w9EHqZ8bmR xx,EmmaWatson,0.34,2
2017-07-14 15:25:58+00:00,I interviewed for and my book club https t co jzDJYb7bi0  Such an honour  Full interview here  https t co osaNJVcKMV https t co vJTHFmFgjl,EmmaWatson,0.5719,2
2017-07-11 14:04:20+00:00,Welcome It is so exciting to have you on Twitter  ,EmmaWatson,0.7973,2
2017-06-21 13:24:09+00:00,I'm hiding copies of The Handmaid's Tale in Paris  Je cache des copies de La Servante Ecarlate dans tout Paris   OSSParis   https t co SvwjYqm1G3,EmmaWatson,-0.4019,2
2017-05-15 15:33:37+00:00,One week left to register for your right to vote in UK election  https t co 3FjKcTfIiH  UseYourVoice https t co jP8lWAkARq,EmmaWatson,0,2
2017-05-08 18:35:22+00:00,Thank you for a wonderful evening and thank you to everyone who voted for me     MTVAwards,EmmaWatson,0.8271,2
2017-04-27 15:34:10+00:00,  https t co YQqrjeAfIr,EmmaWatson,0,2
2017-04-24 20:53:46+00:00,I'm remembering  RanaPlaza today  four years on  Please consider  whomademyclothes https t co KtIgR86qEc,EmmaWatson,0.3182,2
2017-04-22 02:17:51+00:00,So cool  has created a song for   https t co NrsOdeVikj,EmmaWatson,0.5936,2
2017-04-05 15:18:20+00:00,On average  women in the US are paid 20  less than men   and black  amp  Hispanic women are paid even less  I support equal pay  20PercentCounts https t co Ldz2MxhZqF,EmmaWatson,0.3117,2
2017-04-04 09:56:45+00:00,  xx https t co cG6CF8NzVv,EmmaWatson,0,2
2017-03-29 18:11:53+00:00,I interviewed the brilliant Eve Ensler for and  OurSharedShelf  here's part one  https t co P59dpN3m6B,EmmaWatson,0.5859,2
2017-03-29 17:57:12+00:00,https t co 8jdQ3axXul  ,EmmaWatson,0,2
2017-03-22 11:10:03+00:00,Thank you to everyone who saw our film Beauty and the Beast  I saw so many lovely photos of families at the cinema together  Love  Em x   https t co FM1VZEJQDG,EmmaWatson,0.939,2
2017-03-17 10:40:01+00:00, BeautyAndTheBeast opens today  I hope you have as much fun watching it as I did making it  Love  Emma   https t co CoNaybGFqS,EmmaWatson,0.886,2
2017-03-16 18:19:24+00:00,   BeautyAndTheBeast https t co SNs1bIGuI1,EmmaWatson,0,2
2017-03-14 19:34:43+00:00,Not long to go until the big day     BeautyAndTheBeast https t co U3RFJlZAzQ,EmmaWatson,0,2
2017-03-11 19:25:08+00:00,Follow https t co 9OPIAyympV for a peek behind the scenes of our press tour  Plus surprise kittens   courtesy of https t co BMrElSaCru,EmmaWatson,0.5574,2
2017-03-09 05:12:26+00:00,https t co KROEfmGdE3  IWD2017 https t co rtsJwKzh9o,EmmaWatson,0,2
2017-03-09 01:47:48+00:00,Dropping off books at Eleanor Roosevelt's monument IWD  IWDOurSharedShelf  ADayWithoutAWoman https t co cn2EffRyzd https t co LUz2Dyi9mv,EmmaWatson,0,2
2017-03-09 01:46:13+00:00,Dropping off books at Gertrude Stein statue in NYC   IWD  IWDOurSharedShelf  ADayWithoutAWoman https t co kJhmZfvBzw https t co rb81acPFkn,EmmaWatson,0,2
2017-03-09 01:44:48+00:00,Dropping off books at the Joan of Arc memorial in NYC    IWD  IWDOurSharedShelf  ADayWithoutAWoman https t co p8qrMJBbXk https t co jdiUGgl3F5,EmmaWatson,0,2
2017-03-09 01:43:22+00:00,Dropping off books at bookstore in NYC    IWD  IWDOurSharedShelf  ADayWithoutAWoman https t co 6Se2KbIZEQ,EmmaWatson,0,2
2017-03-09 01:41:55+00:00,Dropping off books at Harriet Tubman memorial in NYC    IWD  IWDOurSharedShelf  ADayWithoutAWoman https t co fmjY1zro14 https t co wJTKDBfjPg,EmmaWatson,0,2
